species	time_lag	first_observed	griis_first_observed
Abies homolepis	0	2019	2019
Abies nordmanniana	-7	2009	2016
Acaena caesiiglauca	0	2019	2019
Acaena magellanica		2017	
Acalitus phyllereus		2018	
Acalypha virginica		2021	
Acanalonia conica		2021	
Acanthus hungaricus	2	2018	2016
Acanthus spinosus	-1	2015	2016
Acer buergerianum		2020	
Acer cappadocicum		2006	
Acer cissifolium	0	2014	2014
Acer davidii		2020	
Acer japonicum	2	2012	2010
Acer macrophyllum		2017	
Acer monspessulanum	0	2015	2015
Acer palmatum	1	2014	2013
Acer pensylvanicum	0	2010	2010
Acer pseudoplatanus		2008	
Acer rubrum		2008	
Acer rufinerve		2010	
Acer saccharinum			2020
Acer tataricum		2008	
Achatina achatina		2017	
Achatina fulica			2018
Acheta domesticus			2018
Achillea ageratum		2018	
Achillea filipendulina		2007	
Achillea millefolium		2010	
Achillea nobilis		2007	
Achillea ptarmica		2020	
Achnatherum calamagrostis		2016	
Achnatherum miliaceum		2007	
Acipenser ruthenus		2010	
Acridotheres cristatellus		2009	
Acridotheres ginginianus		2009	
Actias selene		2012	
Actinidia chinensis		2006	
Adelges abietis		2008	
Adelges laricis		2010	
Adiantum aleuticum	0	2016	2016
Adiantum raddianum		2006	
Adistemia watsoni		2021	
Adonis annua		2015	
Adonis flammea		2017	
Aegilops cylindrica		2009	
Aegopodium podagraria		2017	
Aesculus flava		2018	
Aesculus parviflora	4	2017	2013
Aesculus pavia		2011	
Agama agama			2015
Agapornis fischeri		2009	
Agapornis personatus	0	2014	2014
Agastache rugosa		2007	
Agave americana		2007	
Ageratina altissima		2021	
Ageratum houstonianum		2014	
Agonoscena succincta		2021	
Agropogon lutosus			2015
Agropyron cristatum		2011	
Agrostemma brachyloba		2007	
Agrostis scabra		2007	
Ajuga reptans		2010	
Akebia quinata		2009	
Alcea rosea		2018	
Alcea rugosa	0	2010	2010
Aldrovanda vesiculosa			2020
Alectoris barbara		2021	
Alectoris chukar	0	2010	2010
Aleurodothrips fasciapennis			2018
Aleurotuba jelinekii		2018	
Alisterus scapularis		2020	
Alkekengi officinarum		2017	
Allium ampeloprasum		2014	
Allium carinatum		2016	
Allium cepa	-11	2006	2017
Allium cristophii	0	2011	2011
Allium hollandicum	0	2012	2012
Allium karataviense	1	2020	2019
Allium lusitanicum	0	2018	2018
Allium macleanii	0	2014	2014
Allium moly		2020	
Allium nigrum	0	2013	2013
Allium paradoxum		2011	
Allium pendulinum	0	2014	2014
Allium ramosum	8	2018	2010
Allium roseum	0	2017	2017
Allium sativum		2020	
Allium scorodoprasum		2010	
Allium siculum		2017	
Allium triquetrum	0	2013	2013
Allium zebdanense	0	2018	2018
Alnus glutinosa		2019	
Alnus spaethii			2012
Alonsoa linearis			2017
Alopecurus magellanicus		2020	
Althaea cannabina		2017	
Alyssum montanum		2016	
Amaranthus blitoides		2008	
Amaranthus blitum		2017	
Amaranthus bouchonii		2006	
Amaranthus caudatus		2008	
Amaranthus cruentus		2016	
Amaranthus deflexus		2006	
Amaranthus emarginatus		2012	
Amaranthus graecizans		2020	
Amaranthus hybridus		2008	
Amaranthus hypochondriacus		2006	
Amaranthus palmeri		2009	
Amaranthus powellii		2017	
Amaranthus powellii x retroflexus		2011	
Amaranthus quitensis		2013	
Amaranthus spinosus		2007	
Amaranthus standleyanus		2007	
Amaranthus viridis		2013	
Amazona ochrocephala		2007	
Ambigolimax valentianus		2008	
Amblonyx cinereus		2009	
Ambrosia trifida		2006	
Ambystoma macrodactylum	0	2018	2018
Amelanchier spicata		2010	
Ammannia coccinea	0	2016	2016
Ammobium alatum		2016	
Amorpha fruticosa		2006	
Amphitomeus attemsi		2015	
Amsinckia intermedia		2019	
Amsinckia lycopsoides		2018	
Anacridium aegyptium	0	2010	2010
Anacyclus clavatus		2006	
Anaphalis margaritacea		2009	
Anaphalis triplinervis		2017	
Anas erythrorhyncha			2015
Anas gibberifrons			2011
Anas laysanensis			2012
Anas luzonica	0	2014	2014
Anas puna	0	2012	2012
Anas superciliosa	-7	2006	2013
Anastomus lamelligerus		2018	
Anchusa azurea		2021	
Anchusa officinalis		2010	
Anchusa procera		2008	
Anchusa thessala		2021	
Andryala integrifolia	0	2019	2019
Anemonastrum canadense		2019	
Anemone apennina		2009	
Anemone blanda		2009	
Anemone coronaria		2016	
Anemone hybrida		2019	
Anemone sylvestris		2021	
Anethum graveolens		2009	
Angaria delphinus		2018	
Anisocampium niponicum			2017
Anoda cristata		2006	
Anolis sagrei			2018
Anopheles pharoensis			2017
Anoplophora glabripennis		2008	
Antaresia childreni			2018
Anthrenocerus australis		2008	
Anthrenus angustefasciatus		2012	
Anthropoides paradiseus			2016
Anthyllis vulneraria		2007	
Antithamnionella ternifolia		2013	
Apalone ferox			2020
Apera intermedia		2013	
Aphanomyces astaci			2018
Apium graveolens		2017	
Apodiphus amygdali		2018	
Aponogeton distachyos		2009	
Aproceros leucopoda	1	2014	2013
Aquilegia vulgaris		2007	
Ara ararauna		2008	
Ara severus		2019	
Arabidopsis halleri		2011	
Arabis alpina		2006	
Arabis procurrens	3	2014	2011
Arachis hypogaea		2020	
Aralia elata		2006	
Araucaria araucana		2019	
Arctotheca calendula		2012	
Arenaria montana		2021	
Argyranthemum frutescens	1	2018	2017
Arisaema dracontium		2021	
Armeria arenaria		2015	
Armeria humilis		2021	
Armeria maritima		2008	
Armeria pseudarmeria		2020	
Aronia melanocarpa		2021	
Artemisia abrotanum		2011	
Artemisia annua		2009	
Artemisia biennis		2008	
Artemisia crithmifolia		2006	
Artemisia dracunculus		2010	
Artemisia ludoviciana		2015	
Artemisia mongolica		2019	
Artemisia princeps	0	2011	2011
Artemisia rubripes		2012	
Artemisia scoparia		2008	
Artemisia sieversiana	0	2011	2011
Artemisia verlotiorum		2006	
Arthurdendyus triangulatus		2022	
Arum italicum		2008	
Aruncus dioicus		2012	
Arundo donax	0	2011	2011
Asarina procumbens		2019	
Asarum europaeum		2009	
